source,english_sentence,hindi_sentence
tides,The FIs are expected to offload the stake in favour of Suzuki -LRB- currently 50 per cent stakeholder -RRB- and to the general public later .,बाद में वित्तैइय संस्थाएं इन शेयरों को सुजुकी ( फिलहाल 50 प्रतिशत शेयरधारक ) और आम जनता को बेच देंगी .
ted,were being produced.,उत्पन्न नहीं कि जाती थी.
tides,Naren had three or four meetings with the Consul but found that he was making no progress .,नरेंद्र ने कौंसिल से तीन या चार मुलाकातें की किंतु उन्होनें महसूस किया कि वे किसी भी प्रकार से बात आगे नही बढ़ा पा रहे है .
tides,"All those who stand today under this flag are Indians , not Hindus , not Muslims , but Indians .","जो भी इस झंडे के नीचे खड़ा है वह न हिंदू है , न मुसलमान , बल्कि वह हिंदुस्तानी है ."
tides,In some cases the High Courts have the jurisdiction to deal with matters more effectively as courts of first instance than the Supreme Court .,कुछ मामलों में प्रथम स्तर के न्यायालय होने के कारण उच्च न्यायालयों को उच्चतम न्यायालय की अपेक्षा मामलों पर अधिक कारगर ढंग से कार्रवाई करने की अधिकारिता है .
ted,"And you can see, this LED is going to glow.","और जैसा आप देख रहे है, ये एल.ई.डी. जल उठेगी।"
tides,Under the Act more than one Claims Tribunal can be set up and their territorial jurisdiction is specified by notification constituting the Tribunals .,अधिनियम के अधीन एक से अधिक दावा अधिकरण स्थापित किए जा सकते हैं और उनकी अधिकारिता को अधिकरणों के गठन की अधिसूचना में विनिर्दिष्ट कर दिया जाता है .
ted,"to turn on the lights or to bring him a glass of water,","लाईट जलाने के लिए या उनके लिए पानी लाने के लिए,"
indic2012,Maine,मेन
indic2012,IN farsi philosophy firdaus garden is presented as ideal one in Mugal literatures.,फारसी रहस्यवाद में मुगल कालीन इस्लामी पाठ्य में फिरदौस को एक आदर्श पूर्णता का बाग बताया गया है।
ted,Can you imagine saying that?,क्या आप ये कल्पना कर सकते है
tides,Head lice need to maintain contact with a host in order to survive .,जिंदा रहने के लिए जूँ किसी जीव के सम्पर्क में रहना आवश्यक है
ted,Three: this is a good road in - right near where our factory is located.,तीसरी: ये हमारी फ़ैक्ट्री के पास की एक अपेक्षाकृत बेहतर सडक है।
tides,"This may include injunctions , which can be highly effective preventive measures which can reduce the nuisance caused whilst allowing people to keep their homes .",इसमें कानूनी रोक ( इंजक्शन ) शामिल है जो बहुत ही प्रभावकारी रोक का उपाय है जो पैदा हुए उपद्रव को कम कर सकता है और इस बीच लोगों को अपने घरों में रहने की अनुमति भी होती है .
ted,What's going on?”,क्या हो रहा है ये?”
indic2012,"But after his demise, his bother Sardar Vallabh Bhai Patel did not accept this will and filed a case in the court.",मगर उनके निधन के पश्चात उनके भाई सरदार वल्लभ भाई पटेल ने इस वसीयत को स्वीकार नहीं किया और उसपर अदालत में मुकदमा चलाया।
tides,"He also saw with great anguish how , following the ultra-left line of the sixth Comintern congress , the communists had destroyed themselves and gravely damaged the left movement .",उन्होनें बड़े दुख के साथ यह भी देखा कि कैसे छठी कमिन्टर्न कांग्रेस की अतिवामपंथी मार्ग अपनाकर साम्यवादियों ने अपने को नष्ट कर लिया था और वामपंथी आंदोलन को भी बढ़ते देखा था .
ted,There are also financial reforms in rural China.,ग्रामीण चीन में आर्थिक नवीनीकरण हुये हैं।
tides,That is the final lesson of the story .,यह इस कहानी का अंतिम सबक है .
tides,"It is a clash all along , of the old with the new , of real politik with idealism , of the means with-the end , of love claimed as of right and love given of free will , of home-bred virtue with the wild wind from the outside .","इसमें टकरवा ही टकराव है - नए के साथ पुराने का , राज्य सत्ता बनाम आदर्शवाद का , साध्य और साधन का , अधिकार पूर्ण प्रेम और प्रेम की स्वतंत्रता का , और बाहरी जंगली हवा के साथ ग्राहस्थिक या घरेलू मूल्यों का ."
tides,"Progressive-minded , he advocated widow remarriage and raising the marriageable age of girls .",अपने प्रगतिशील विचारों के कारण उन्होंने विधवा-विवाह और कन्याओं की विवाह योग्य आयु-सीमा बढ़ाने की भी वकालत की .
tides,"The range was comprehensive , the analysis sober and lucid , and the style so charming that what he said was itself afine specimen of literature .",विश्लेषण और विवेचन बड़े गंभीर और सरस थे और शैली इतनी मोहक थी कि सारा-का-सारा लेखन साहित्य का उत्कृष्ट निदर्शन बन गया .
tides,Twenty of the years from 1860 to 1908 were years of famine .,सन् 1860 और 1908 के बीच के 20 वर्ष अकाल के वर्ष रहे .
indic2012,"This position is similar to armchair. In this the male puts its legs slightly up near the knees. and his hands are helpful to support the hips of the female. The female spreads her leg touching his back.and after letting her penis inside her vagina takes support on his arms by her hands.In this,he male and female remains quite closer and this provides quite closure.",-झूला यह हत्थाकुर्सी से मिलती जुलती पोजीशन है इसमें पुरुष अपने पैरों को घुटनों के पास से थोड़ा उपर उठा लेता है और उसके हाथ महिला को कूल्हों के पास से सहारा देने का काम करते हैं तथा महिला अपने दोनों पैर उसकी कमर से सटाते हुए सीधे फैला लेती है तथा योनि को लिंग में प्रवेश कराने के बाद अपने हाथ उसके कंधे पर रख सहारा लेती है. इसमें महिला पुरुष काफी निकट रहते हैं इससे यह काफी निकटता प्रदान करती है.
ted,the family planning started in Vietnam and they went for smaller families.,वियतनाम में परिवार योजना शुरू हो गई और उनके परिवार छोटे होने लगे।
indic2012,category:information technology,श्रेणी:सूचना प्रौद्योगिकी
ted,"I mean, at that time, trust me,","मेरा मतलब, उस समय, सही मानिए,"
tides,"For Jayendra Saraswati , the spiritual has never been static .",जयेंद्र सरस्वती के लिए अध्यात्म कभी कोई स्थिर चीज नहीं रही है .
ted,"Not only that,","बस वही नहीं,"
tides,"What we call instinct , what we always refer to disparagingly in our daily lifethis it is that leads us out of the jungle of virtues and vices , elations and afflictions , into an awareness of the unlimited possibilities of our destiny .",जिसे हम प्रवृत्ति कहते हैं और जिसे हम अपने दैनंदिन जीवन में बहुत तुच्छ समझ कर नकार दिया करते हैं- यही वह चीज है जो हमें सदगुणों या दुर्गुणों के अरण्य से बाहर निकालने में सहायक बनकर हमारी नियति की असीम संभावनाओं तक और हमारी चेतना एवं उल्लास तथा अनुताप तक ले जाती है .
ted,humans destroyed the commons that they depended on.,मानवों ने उन ही साझे संसाधनों को नष्ट किया जिन पर वो आधारित थे।
ted,"Almost goes to E, but otherwise the play would be over.","रचना करीब करीब ई तक जाती है, मगर तब तो नाटक ख़त्म हो जाएगा."
indic2012,Aryans did not make any statues or temples for deities.,आर्य देवताओं की कोई मूर्ति या मन्दिर नहीं बनाते थे।
indic2012,It has three small domes and has been constructed using white marble.,यह एक छोटी तीन गुम्बद वाली तराशे हुए श्वेत संगमर्मर से निर्मित है।
indic2012,.Sarojini Naidu with Mahatma Gandhi,महात्मा गांधी के साथ सरोजिनी नायडू
tides,But January 2002 has been quiet .,"लेकिन जनवरी , 2002 में मंदी रही ."
indic2012,External links,बाहरी कड़ियाँ
tides,"On the rear wall , in a special niche , is carved the usual Somaskanda panel , with Siva and Uma seated with little Skanda on Uma 's lap and Brahma and Vishnu standing behind on either side .","पिछली दीवार पर एक विशेष ताक में , एक सामान्य सोमस्कंद फल्क उकेरा गया है , जिसमें शिव और उमा बैठे हुए हैं , नन्हाँ स्कंद उमा की गोद में हैं और दोनों और ब्रह्मा और विष्णु खड़े हैं ."
ted,So I want to share with you a couple key insights,मैं आपके साथ कुछ मुख्य सूत्र बाँटना चाहता हूँ
tides,"France , Belgium ; Germany , the United States , Russia , and later , Japan developed powerful industries and began to search for foreign markets for their products .","फ्रांस , बेलजियम , जर्मनी , संयुक्त राज्य अमेरिका , रूस और बाद में जापान ने अपने यहां शक्तिशाली उद्योगों का विकास किया और अपने माल की खपत के लिए विदेशी बाजार की खोज शुरू की ."
tides,"But if you agree to allow the seller extra time , you cannot cancel until that time is up .","पर अगर आप व्यापारी को अधिक समय देना स्वीकार करते हैं , तो आप इस समय के बीत जाने के पहले अपना आर्डर रद्द नहीं कर सकते ."
ted,"Many countries in the [unclear], they need legitimacy.",[अस्पष्ट] के बहुत सारे राष्ट्रों को मान्यता चाहिए.
ted,This change has contributed,यह परिवर्तन योगदान दे रहा है
ted,"is to create ownership in the community to the problem,","हमने समस्या का हल निकालने का ज़िम्मा पूरे समुदाय पर डाल दिया,"
indic2012,Buddha and danceroom (1958),बुद्ध और नाचघर (1958)
tides,"the arrangements for setting short-term goals , regularly reviewing your child 's progress towards those goals , and how your child 's progress is to be monitored .",अल्पकाली उद्देश्य रेखांकित करने का प्रबंध करना एवं उन उद्देश्यों के प्रति आप की नियमित उन्नति का निरीक्षण करें .
tides,He often spoke to us of his own great longing to meet him .,वे बहुधा उनसे मिलने की तीव्र इच्छा के बारे में भी हमें बताया करते .
tides,"In this positive connotation , liberty would mean freedom of the individual to do what one likes .",इस सकारात्मक अर्थबोध में स्वतंत्रता का अर्थ होगा किसी व्यक्ति की अपनी इच्छा के अनुसार कार्य करने की स्वतंत्रता .
tides,"Thus , even aslthe Central Legislature 's power to make laws for the whole of British India , for British subjects and servants of tie Crown in India , and for all British Indian subjects within as well as without British India was reiterated , it continued to be subject to many important limitations which were designed either to keep the sovereignty of the British Parliament intact or to maintain the supremacy of the Governor-General and his Council .","इस प्रकार , यद्यपि संपूर्ण ब्रिटिश इंडिया के लिए , भारत में सम्राट की ब्रिटिश प्रजा एवं सेवियों के लिए तथा ब्रिटिश इंडिया में और उससे बाहर ब्रिटिश इंडिया की सारी प्रजा के लिए केंद्रीय विधानमंडल की शक्ति को दोहराया गया परंतु उसकी अनेक महत्वपूर्ण सीमाएं बनी रहीं जो या तो ब्रिटिश संसद की प्रभुसत्ता ज्यों की त्यों बनाए रखने के लिए निर्धारित की गई थीं या Zइफर गवर्नर-जनरल तथा उसकी परिषद् की प्रभुसत्ता बनाए रखने के लिए ."
ted,greatly understate its impact.,इसके प्रभाव को बहुत ही कम आंका गया है।
tides,We use a different style of WP1 application form depending on whether you intend to send the application to us by e-mail or post .,हम भिऋ स्टाऋल के थ्फ् 1 आवेदनपत्र का प्रयोग करते हैं जो कि इस बात पर निर्भर करता है कि आप हमें आवेदनपत्र डऋआक से या इ-मेल से भेजना चाहते हैं .
indic2012,"He wanted to teach gurubhai a lesson and giving respect to all the things of Gurudev ,he took the spitbowl filled with blood and cough and threw it on gurubhai bed.",उस गुरुभाई को पाठ पढ़ाते हुए और गुरुदेव की प्रत्येक वस्तु के प्रति प्रेम दर्शाते हुए उनके बिस्तर के पास रक्त कफ आदि से भरी थूकदानी उठाकर फेकते थे।
indic2012,1)Sanskrit is world's oldest language of vedas.,"१) संस्कृत, विश्व की सबसे पुरानी पुस्तक (वेद) की भाषा है।"
ted,the Carrier Hotel,कैरियर होटल
ted,that it learns or is pre-programmed.,जो वह सीखता है या पूर्व क्रमादेशित होता है|
tides,"Where programmes have been slow to deliver results , for example on truancy , the Government is intensifying action .","जहाँ भी स्कूलों में बगैर छुट्टी लिए हुए विद्यार्थियों की अनुपस्थिती जैसी समस्याएँ कम तेजी से सुधरी हैं , वहाँ सरकार अधिक कार्य कर रही है |भाष्;"
ted,"have different colors and different textures to our eye,","हमारी आखो के लिए अलग बनावट और अलग रंग के हैं ,"
indic2012,parliaments control on financial health.,वित्त व्यवस्था पर संसद का नियंत्रण
tides,"However , in the meantime , there was an influx of people from other States particularly from the South and more people were inducted under various other schemes of rehabilitation .","किंतु इसी बीच दूसरे प्रदेशों से विशेष रूप से दक्षिण से बड़ी संख्या में लोग इन द्वीपों में आ गये , उनमें कुछ अन्य लोग विभिन्न परियोजनाओं के आधार पर यहां बसाये गए ."
ted,And I think any wise life will accept,मुझे लगता है कोई भी बुद्धिमान जीवन इस बात को मानेगा कि
tides,"Among the principal ' infant ' industries of this period mention must be made of sugar , paper , and matches .","छोटे छोटे शिशु उद्योग इस समय के मुखऋ-ऊण्श्छ्ष्-य शिशु उद्योगों में चीनी , कागज और दियासलाऋ की चर्चा की जा सकती है ."
tides,"After you have made enough to rebuild the cottage , I shall take you back as my Queen . ”","जिस दिन तुम उस झोपड़ी को दोबारा खड़ा कर पाने में समर्थ हो जाओगी , उसी दिन मैं तुम्हें रानी के रूप में स्वीकार कर पाऊंगा . ?"
indic2012,2 Sursaravali,२ सूरसारावली
tides,"In spite of greater use of machinery on the plantations , the organisation of a colliery was less patterned on the lines of the factory system . IRON AND STEEL INDUSTRY","बागान की अपेक्षा इसमें मशीनों के अधिक उपयोग के बावजूद , कोयला खदान के काम को फैक़्ट्री प्रणाली के रूप में कम संरक्षण प्राप्त था ."
tides,"While it helps diplomatically to have a country like the UK openly come out with a legislation like this , what is important is the question of the difference this would make to insurgency , say , in Kashmir .","हालंकि , ब्रिटेन जैसे देश के इस तरह खुलेआम कानून बनाने से कूटनीतिक तौर पर तो मदद मिलती है , लेकिन महत्वपूर्ण यह है कि इससे , मान ल कश्मीर में , बगावत पर क्या असर पड़ैगा ."
ted,to create a dry mist,सूखे धुंध को बनाने के लिए
indic2012,"Chawla's responsibilities included the microgravity experiments, for which the crew conducted nearly 80 experiments studying earth and space science, advanced technology development, and astronaut health and safety",उनकी ज़िम्मेदारियों में शामिल थे स्पेसहैब/बल्ले-बल्ले/फ़्रीस्टार लघुगुरुत्व प्रयोग जिसके लिए कर्मचारी दल ने ८० प्रयोग किए जिनके जरिए पृथ्वी व अंतरिक्ष विज्ञान उन्नत तकनीक विकास व अंतरिक्ष यात्री स्वास्थ्य व सुरक्षा का अध्ययन हुआ।
indic2012,"In the middle of 1700th century,after the beginning of industrial revolution,the atmospheric concentrations of CO2 and CH4 has increased 31% and 149% respectively.During the past 650,000 years ,these levels are considered to be very high than at any time.",CO2 और CH4 की वातावरण सांद्रता (atmospheric concentrations) 1700 वीं सदी के मध्य में औद्योगिक क्रांति की शुरुआत के बाद से क्रमशः 31% और 149% बढ़ गई है.पिछले 650000 वर्षों के दौरान किसी भी समय से इन स्तरों को काफी अधिक माना जा रहा है।
indic2012,"in these the main are farakka dam,tihari dam,and bheemghoda dam",इनमें प्रमुख हैं फ़रक्का बाँध टिहरी बाँध तथा भीमगोडा बाँध।
ted,than are put into malaria.,मलेरिया के मुकाबले।
ted,"when the space race was going on,","जब ये अंतरिक्ष प्रतिस्पर्धा पूरे ज़ोर पर था,"
tides,Perhaps there are problems that you do n't know about .,"शायद कुछ ऐसी समस्याएँ हों , जिनके बारे में आप न जानते हों ."
ted,I was forced to get a paper route at 10 years old.,दस साल की उम्र में मुझे जबरदस्ती अखबार बेचना भेज दिया गया ।
tides,The religious leaders were fully conscious of such problems and they tried to root out ' discrimination in all its forms .,धार्मिक नेता इसके प्रति पूरी तरह से सजग थे तथा सभी तरह के भेद भाव को समूल उखाड़ने में सक्रिय थे .
indic2012,At that time the main party to oppose them were the Communist Party of India and other leftist parties alliances to them.,उनका विरोध करने वालों में उस समय सबसे मुख्य दल भारतीय कम्यूनिस्ट पार्टी और अन्य वामपंथी सहयोगी दल थे।
indic2012,Class : United States of America,श्रेणी:संयुक्त राज्य अमेरिका
ted,I then read him a chapter,फिर मैंने उसे Roald Dahl की “James and the Giant Peach.”
tides,"If the murdered p jrson is a Brahman , the Brahman murderer has to answer for it in a future life , or he is not allowed to do expiation , because expiation wipes off the sin from the sinner , whilst nothing can wipe off any of the mortal crimes from a Brahman , of which the greatest are : the murder of a Brahman , called vajmbmhmahatya ; further , the killing of a cow , the drinking of wine , whoredom , especially with the wife of one 's own father and teacher .","यदि जिस व्यक्ति की हत्या हुई है वह ब्राह्मण हो तो हत्यारे ब्राह्मण को अगले जन्म में उसका उत्तर देना पड़ेगा क़्योंकि उसको प्रायश्चित करने की अनुमति नहीं है इसलिए कि प्रायश्चित करने से पापी का पाप धुल जाता है जबकि नियमानुसार ब्राह्मण द्वारा किए गए किसी भी महापाप का मार्जन नहीं हो सकता.महापाप ये हैं : ब्राह्मण की हत्या जो बज्र ब्रह्म हत्या ? कहलाती है ; इसके अतिरिक़्त गो-हत्या , मद्यपान , व्यभिचार विशेष रूप से अपने पिता की और गुरू की पत्नी के साथ किया गया व्यभिचार ."
tides,Some may want to get every word exactly right while other children will race to the end of a story .,हो सकता है कि कुछ बच्चे प्रत्येक शब्द बिलकुल सही पढ़ना चाहते हो जबकि अन्य कहानी के अंत तक पहुँचने की होड़ में रहेंगे .
indic2012,At that time in rajsabha lord shri Krishna showed his ultimate wide vishwaswaroop and made everyone scare.,उस समय राजसभा में भगवान् श्रीकृष्ण ने माया से अपने परम दुर्धर्ष विश्वरूप का दर्शन कराकर सबको भयभीत कर दिया।
tides,"Demand was increasing fast and the mills had to switch over to two-shift working , utilising available idle capacity .",मांग तेजी से बढ़ रही थी और मिलों ने उपलब्ध क्षमता का उपयोग करते हुए दो पारी में काम करना शुरू कर दिया .
indic2012,"prior to 14th century,country's maximum area got captured in single state",१४वीं शताब्दी के उत्तरार्ध मे देश का बहुत ज्यादा भाग एकीकृत राज्य के अधीन में आ गया।
indic2012,"In Indian culture, Holy texts have a special importance, and the Purans are among the most important of all the holy texts.",भारतीय जीवन-धारा में जिन ग्रन्थों का महत्वपूर्ण स्थान है उनमें पुराण भक्ति-ग्रंथों के रूप में बहुत महत्वपूर्ण माने जाते हैं।
indic2012,Fast track courts- These are special courts which have been started with a purpose to quickly proceed with long pending criminal cases or under-trial disputes.,फास्ट ट्रेक कोर्ट - ये अतिरिक्त सत्र न्यायालय है इनक गठन दीर्घावधि से लंबित अपराध तथा अंडर ट्रायल वादों के तीव्रता से निपटारे हेतु किया गया है
tides,"Abu-Yakub of Sijistan maintains in his book , called The disclosing of that which is veiled , that the species are preserved ; that metempsychosis always proceeds in one and the same species , never crossing its limits and passing into another species .","सिजिस्तान के अबू याकूब ने अपनी पुस्तक ? कश्फ़-उल-महजूब ? ( रहस्योद्घाटन ) में कहा है कि प्रजातियां या योनियां सुरक्षित रहती हैं और पुनर्जन्म का क्रम हमेशा एक ही प्रकार की योनियों में होता है , न वह कभी अपनी सीमा का अतिक्रमण करता है और न ही दूसरी योनियों में जाता है ."
ted,"permanent, billowing, voluptuous forms","स्थायी, तरंगित, आकर्षक, बड़ी इमारतो के आकार के"
tides,"Other sounds like chirping , rasping , squeaking , whistling and shrieking are deliberately produced by various insects , either as expressions of joy of living or as a means of communication with their friends or warnings to enemies .","विभिन्न कीट चींचीं , खड़खड़ , किकियाने , सीटी और कर्कश चीख जैसी आवाजें पैदा करते हैं.ऐसा या तो जीवन के आनंद की अभिव्यक़्ति के रूप में या अपने मित्रों से संपर्क करने के साधन के रूप में या शत्रुओं को चेतावनी देने के लिए करते हैं ."
ted,Every five years,"हर पाँच साल में,"
tides,In Burma and Ceylon she intends to hold on as long as she can .,"बर्मा और सीलोन पर वह जब तक हो सकता हैं , अपना कब्जा बनाये रखना चाहता"
indic2012,Vishnusahastranam - Glory of Vishnu's 1000 names in Shantiparva.,विष्णुसहस्रनाम विष्णु के १००० नामों की महिमा शांतिपर्व में।
tides,It worked .,और यह तरीका कारगर रहा .
tides,"Virtually all groups of plants and animals , and the natural variations that exist within them , are represented in the Life Science Collections .","=स्तुतः पौधों तथा जानवरों के सभी समूहों और उनके अन्दर होने वाले प्राकृतिक परिवर्तनों को , जीवन-विज्ञान संग्रह में प्रस्तुत किया गया है ."
tides,"The number of technically qualified persons employed was inadequate , and the general rank and file of the workers was employed largely on a temporary basis , which was not conducive to greater efficiency .",तकनीकी व्यक़्तियों की संख़्या भी कम थी और अधिकांश श्रमिक भी अस्थायी तौर पर नियुक़्त थे जो कि अधिक कार्यक्षमता की दृष्टि से लाभप्रद नहीं था .
ted,The blue and the dim,नीले और मंद
tides,"Although , the Superintendent of the jail and most of the other local officials were reasonable and avoided giving trouble , the Bengal Government who were ultimately responsible for the prisoners were extremely vindictive and the Government of India entirely indifferent .","हालांकि जेल-अधीक्षक तथा अन्य अधिकांश स्थानीय अधिकारियों का रवैया ठीक था,लेकिन बंगाल सरकार का रवैया , जो कि अपने कैदियों के भले-बुरे की खासतौर पर जिम्मेदार थी , प्रतिशोधपूर्ण था और भारत सरकार इस सबसे एकदम निस्पृह थी ."
indic2012,Category : Religion Author,श्रेणी:धर्म प्रवर्तक
ted,So we light our buildings with daylight.,तो हम अपनी इमारतों को दिन के उजाले से प्रकाशित करते हैं.
ted,"where, the time, the website.","कहाँ , कब, वेब्साइट।"
ted,"and that is for their children to grow up successful,","और वह है कि उनके बच्चे कामयाब निकलें,"
indic2012,.Masterbation,मैथुन
indic2012,Because of these the Supreme Court has made some restrictions on its own,इसके चलते सुप्रीम कोर्ट ने खुद कुछ बन्धन इनके प्रयोग पे लगाये है
ted,about the world than the chimpanzees.,विश्व के बारे में चिंपैंजी से भी कम जानते हैं।
ted,that all three have also been responsible in,तीनों ही अपनी योजनाओं और प्रस्तावों को सामने रखने के मामले में
tides,"For instance , soft-drink giant Coca-Cola Inc is seeking exemption from a public issue .","मसलन , कोका कोल कंपनी अब सार्वजनिक निर्गम लने से छूट चाहती है ."
tides,"Led by veterans like Sharad Joshi and Bipin Desai , farmers threatened the Government with dire consequences if it went ahead with its plans to destroy their crop .",शरद जोशी और बिपिन देसाई सरीखे दिग्गज नेताओं की अगुआई में किसानों ने सरकार को धमकी दी कि अगर उसने फसल नष्ट की तो गंभीर नतीजे भुगतने होंगे .
tides,"It really happens-if you 're good-looking , that is .",अगर आप आकर्षक हैं तो ऐसा हो सकता है .
indic2012,Royal Chitvan National Park,रॉयल चितवन राष्ट्रीय उद्यान
tides,The hookah smokers will have a lot to talk about .,यानी ह्क्का गुड़ेगुड़ने वालं के पास बातचीत के कई मुद्दे होंगे .
tides,As an anniversary it was probably the most important of recent times but it went unnoticed because Phoolan Devi got killed and the prime minister threatened to resign over the interminable UTI drama .,"यह मौका था एक अहम शुरुआत की वर्षगां मनाने का , लेकिन फूलन देवी की हत्या और यूटीआइ घोटाले को लेकरौ उ ए बवाल पर प्रधानमंत्री की इस्तीफे की नाटकीय घोषणा के शोरशराबे के चलते इस पर किसी ने ध्यान नहीं दिया ."
indic2012,Sanskrit Liturature:,संस्कृत सामग्री :
indic2012,"Thus by exchanging positions once, he scores one run.",इस प्रकार एक बार स्थिति बदल लेने से एक रन बन जाता है।
ted,But we also know where we are through movement.,लेकिन हम अपने गति के कारण यह भी जानते है कि हम कहाँ हैं |
tides,"Though the possibility of launching a big conspiracy case against the prominent left-wing leaders was being considered from 1927 , the first concrete reference to it is found in Lord Irwin 's secret telegram to the Secretary of State for India on 13th September , 1928 .","हालांकि सन् 1927 से ही प्रमुख वामपंथी नेताओं के खिलाफ एक बड़ा षड्यंत्र केस चलाने की संभावना पर विचार किया जा रहा था , लेकिन उसका पहला प्रत्यक्ष संकेत लार्ड इरविन द्वारा भारत के राज़्य सचिव को भेजे गये 13 सितंबर 1928 के एक तार में मिलता है ."
tides,"Men of Delhi Police 's Special Cell apprehended Rajesh Bhalla a.k.a . Tutu , 49 , a high-end fashion garments exporter , who had been absconding for nearly six months .","दिल्ली पुलिस के विशेष प्रकोष् ने फैशन वाले कपड़ें के निर्यातक 49 वर्षीय राजेश भल्ल उर्फ टूटू नामक ऐसे व्यैक्त को गिरतार किया , जो गत छह माह से फरार था ."
